,year,keywords,title,author
41,2014,"0805 Elementary and secondary education, 0815 Informal education, 0840 Evaluation and assessment, 0845 Instructional tools",{The Whole World In Your Hands: Using an Interactive Virtual Reality Sandbox for Geospatial Education and Outreach},"{Clucas}, T. and {Wirth}, G.~S. and {Broderson}, D."
42,2022,,{Using Augmented and Virtual Reality to Create a More Inclusive Use of Color in the Geosciences and Other Fields},"{Bernardes}, Sergio and {Howard}, Allison and {Couey}, Ethan"
43,2020,"0810 Post-secondary education, EDUCATION, 0815 Informal education, EDUCATION",{Virtual Reality Exploration of Earth's Cryosphere},"{Harris}, K. and {Krok}, K. and {Cervenec}, J.~M."
44,2009,"0825 EDUCATION / Teaching methods, 0845 EDUCATION / Instructional tools, 0850 EDUCATION / Geoscience education research",{Oceanography in Second Life: Use of a Virtual Reality to Enhance Undergraduate Education in Marine Science},"{Villareal}, T.~A. and {Jarmon}, L. and {Triggs}, R."
45,2019,"0815 Informal education, EDUCATION, 0840 Evaluation and assessment, EDUCATION, 0845 Instructional tools, EDUCATION, 0850 Geoscience education research, EDUCATION",{Virtual reality as a climate science teaching tool},"{Kravitz}, B. and {Riihimaki}, L. and {Tynes}, C. and {Boatman}, G. and {Cramer}, N. and {Hubbe}, J.~M. and {Willcuts}, P. and {Wright-Mockler}, A."
46,2016,"0815 Informal education, EDUCATIONDE: 0820 Curriculum and laboratory design, EDUCATIONDE: 0840 Evaluation and assessment, EDUCATIONDE: 0845 Instructional tools, EDUCATION",{From Geocaching to Virtual Reality: Technology tools that can transform courses into interactive learning expeditions},"{Moysey}, S.~M. and {Lazar}, K. and {Boyer}, D.~M. and {Mobley}, C. and {Sellers}, V."
47,2006,"0805 Elementary and secondary education, 0810 Post-secondary education, 0815 Informal education",{The NASA-Macquarie University Pilbara Education Project: Connecting the public to `science in the making' via virtual reality and the Internet},"{Oliver}, C.~A. and {Fergusson}, J. and {Bruce}, G. and {Gaskins}, T."
48,2020,"0805 Elementary and secondary education, EDUCATION, 0810 Post-secondary education, EDUCATION, 0815 Informal education, EDUCATION, 0845 Instructional tools, EDUCATION","{Immersive and Experiential Learning Based on Multi-Technology Integration: Bringing UAVs, Augmented Reality and Virtual Reality into the Classroom}","{Bernardes}, S. and {Howard}, A. and {Walker}, A. and {Mendki}, A. and {Bhanderi}, D. and {Guest}, A. and {Sorrells}, R. and {Nercessian}, P. and {Dooley}, C. and {Le}, L. and {Naidu}, I. and {Madden}, M."
49,2016,"0820 Curriculum and laboratory design, EDUCATIONDE: 0825 Teaching methods, EDUCATIONDE: 0840 Evaluation and assessment, EDUCATIONDE: 0850 Geoscience education research, EDUCATION","{Mobile devices, Virtual Reality, Augmented Reality, and Digital Geoscience Education.}","{Crompton}, H. and {De Paor}, D.~G. and {Whitmeyer}, S.~J. and {Bentley}, C."
50,2018,"3360 Remote sensing, ATMOSPHERIC PROCESSESDE: 1910 Data assimilation, integration and fusion, INFORMATICSDE: 1920 Emerging informatics technologies, INFORMATICSDE: 1926 Geospatial, INFORMATICS",{Stepping into GIS: Virtual Flooding with Virtual Reality Technology},"{Skolnik}, S. and {Silcott}, A."
